"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1490","1.3247277577595498E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6236589556536065E-12","-9.0889322977508624E-1","0.0000000000000000E+0","2.4787979609015229E+0","1.8663976714246402E+1","8.2730947480286375E+1","1.9998468202890149E+0","1.215058560962404E-2"
"1489","1.3247581721680217E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9547871762086162E-12","-9.0894654222254245E-1","0.0000000000000000E+0","2.4787414971821535E+0","1.8664030948980464E+1","8.2731187884086907E+1","1.9993079394881375E+0","1.215058560962404E-2"
"1488","1.3248260553615008E+0","0.0000000000000000E+0","0.0000000000000000E+0","6.1420841577304830E-12","-9.0906553798103729E-1","0.0000000000000000E+0","2.4786154594184397E+0","1.8664151971533588E+1","8.2731724335168025E+1","1.9981059491960291E+0","1.215058560962404E-2"
"1487","1.3248939544387466E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.3786775928111164E-12","-9.0918456913691248E-1","0.0000000000000000E+0","2.4784893727941411E+0","1.8664272986202654E+1","8.2732260751301865E+1","1.9969047276837288E+0","1.215058560962404E-2"
"1486","1.3249618694009297E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9677819263439873E-12","-9.0930363568983696E-1","0.0000000000000000E+0","2.4783632372973665E+0","1.8664393993001905E+1","8.2732797132551511E+1","1.9957042746133897E+0","1.215058560962404E-2"
"1485","1.3250298002492304E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.6264992915708570E-12","-9.0942273763970227E-1","0.0000000000000000E+0","2.4782370529158264E+0","1.8664514991945229E+1","8.2733333478978565E+1","1.9945045897206866E+0","1.215058560962404E-2"
"1484","1.3250977469847920E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.2329829397649864E-12","-9.0954187498629979E-1","0.0000000000000000E+0","2.4781108196373598E+0","1.8664635983046722E+1","8.2733869790645500E+1","1.9933056730122416E+0","1.215058560962404E-2"
"1483","1.3251657096087275E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.7826717682928361E-12","-9.0966104772921641E-1","0.0000000000000000E+0","2.4779845374501308E+0","1.8664756966320699E+1","8.2734406067615765E+1","1.9921075245810327E+0","1.215058560962404E-2"
"1482","1.3252336881221551E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.8594102810643383E-12","-9.0978025586818845E-1","0.0000000000000000E+0","2.4778582063420354E+0","1.8664877941780990E+1","8.2734942309950668E+1","1.9909101444046811E+0","1.215058560962404E-2"
"1481","1.3253016825261075E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6022208335871241E-12","-9.0989949940283965E-1","0.0000000000000000E+0","2.4777318263010524E+0","1.8664998909441699E+1","8.2735478517712721E+1","1.9897135319023627E+0","1.215058560962404E-2"
"1480","1.3253696928217693E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.7376705390492649E-12","-9.1001877833278511E-1","0.0000000000000000E+0","2.4776053973153744E+0","1.8665119869317309E+1","8.2736014690966115E+1","1.9885176866961178E+0","1.215058560962404E-2"
"1479","1.3254377190100692E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.8868234189971383E-12","-9.1013809265737877E-1","0.0000000000000000E+0","2.4774789193733220E+0","1.8665240821421488E+1","8.2736550829771460E+1","1.9873226098903092E+0","1.215058560962404E-2"
"1478","1.3255057610920007E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.2102334276900478E-12","-9.1025744237625372E-1","0.0000000000000000E+0","2.4773523924627900E+0","1.8665361765768537E+1","8.2737086934192121E+1","1.9861283006795789E+0","1.215058560962404E-2"
"1477","1.3255738190687061E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9809633579100296E-12","-9.1037682748882454E-1","0.0000000000000000E+0","2.4772258165722620E+0","1.8665482702372806E+1","8.2737623004291720E+1","1.9849347591952027E+0","1.215058560962404E-2"
"1476","1.3256418929410392E+0","0.0000000000000000E+0","0.0000000000000000E+0","6.1339127747214607E-12","-9.1049624799436035E-1","0.0000000000000000E+0","2.4770991916900984E+0","1.8665603631248143E+1","8.2738159040131663E+1","1.9837419843099333E+0","1.215058560962404E-2"
"1475","1.3257099827099630E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9494910660411676E-12","-9.1061570389218993E-1","0.0000000000000000E+0","2.4769725178046906E+0","1.8665724552408875E+1","8.2738695041775415E+1","1.9825499771415451E+0","1.215058560962404E-2"
"1474","1.3257780883764221E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9496560548147167E-12","-9.1073519518159385E-1","0.0000000000000000E+0","2.4768457949044871E+0","1.8665845465869115E+1","8.2739231009285533E+1","1.9813587363730369E+0","1.215058560962404E-2"
"1473","1.3258462099413073E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.9014185014257139E-12","-9.1085472186191252E-1","0.0000000000000000E+0","2.4767190229777505E+0","1.8665966371643091E+1","8.2739766942725126E+1","1.9801682635822504E+0","1.215058560962404E-2"
"1472","1.3259143474056014E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.3627800462875806E-12","-9.1097428393235413E-1","0.0000000000000000E+0","2.4765922020131024E+0","1.8666087269745045E+1","8.2740302842157305E+1","1.9789785573236625E+0","1.215058560962404E-2"
"1471","1.3259825007700710E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5639949186061471E-12","-9.1109388139191727E-1","0.0000000000000000E+0","2.4764653319992505E+0","1.8666208160189090E+1","8.2740838707644613E+1","1.9777896172670575E+0","1.215058560962404E-2"
"1470","1.3260506700356012E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5551867367863851E-12","-9.1121351423977137E-1","0.0000000000000000E+0","2.4763384129247474E+0","1.8666329042989435E+1","8.2741374539250060E+1","1.9766014450274711E+0","1.215058560962404E-2"
"1469","1.3261188552029981E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.6472339573865732E-12","-9.1133318247488271E-1","0.0000000000000000E+0","2.4762114447784018E+0","1.8666449918160318E+1","8.2741910337036714E+1","1.9754140384820364E+0","1.215058560962404E-2"
"1468","1.3261870562730875E+0","0.0000000000000000E+0","0.0000000000000000E+0","6.0746066612276074E-12","-9.1145288609628272E-1","0.0000000000000000E+0","2.4760844275489271E+0","1.8666570785716019E+1","8.2742446101067927E+1","1.9742273987818315E+0","1.215058560962404E-2"
"1467","1.3262552732466242E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9715493649898609E-12","-9.1157262510293657E-1","0.0000000000000000E+0","2.4759573612250545E+0","1.8666691645670667E+1","8.2742981831406311E+1","1.9730415249033946E+0","1.215058560962404E-2"
"1466","1.3263235061243834E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.8846508468022785E-12","-9.1169239949377912E-1","0.0000000000000000E+0","2.4758302457955965E+0","1.8666812498038613E+1","8.2743517528115447E+1","1.9718564176982414E+0","1.215058560962404E-2"
"1465","1.3263917549070934E+0","0.0000000000000000E+0","0.0000000000000000E+0","6.3039723391947812E-12","-9.1181220926747164E-1","0.0000000000000000E+0","2.4757030812497920E+0","1.8666933342834035E+1","8.2744053191258217E+1","1.9706720762866423E+0","1.215058560962404E-2"
"1464","1.3264600195954777E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9964245723156206E-12","-9.1193205442308767E-1","0.0000000000000000E+0","2.4755758675761212E+0","1.8667054180071190E+1","8.2744588820897803E+1","1.9694885005868752E+0","1.215058560962404E-2"
"1463","1.3265283001902295E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.7067581379348542E-12","-9.1205193495917758E-1","0.0000000000000000E+0","2.4754486047639679E+0","1.8667175009764446E+1","8.2745124417097898E+1","1.9683056909051557E+0","1.215058560962404E-2"
"1462","1.3265965966919933E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5020323048424630E-12","-9.1217185087444230E-1","0.0000000000000000E+0","2.4753212928023753E+0","1.8667295831928026E+1","8.2745659979921555E+1","1.9671236469004794E+0","1.215058560962404E-2"
"1461","1.3266649091014493E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.4683141684277828E-12","-9.1229180216762173E-1","0.0000000000000000E+0","2.4751939316803551E+0","1.8667416646576285E+1","8.2746195509432383E+1","1.9659423691873306E+0","1.215058560962404E-2"
"1460","1.3267332374192367E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.7055020042703080E-12","-9.1241178883730545E-1","0.0000000000000000E+0","2.4750665213871352E+0","1.8667537453723490E+1","8.2746731005693647E+1","1.9647618558618305E+0","1.215058560962404E-2"
"1459","1.3268015816459333E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.8666407026317423E-12","-9.1253181088198954E-1","0.0000000000000000E+0","2.4749390619120257E+0","1.8667658253384044E+1","8.2747266468769155E+1","1.9635821081250291E+0","1.215058560962404E-2"
"1458","1.3268699417821257E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.9301005805229637E-12","-9.1265186830023659E-1","0.0000000000000000E+0","2.4748115532442210E+0","1.8667779045572129E+1","8.2747801898721818E+1","1.9624031261453649E+0","1.215058560962404E-2"
"1457","1.3269383178283332E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6852709948135582E-12","-9.1277196109040770E-1","0.0000000000000000E+0","2.4746839953731916E+0","1.8667899830302098E+1","8.2748337295615229E+1","1.9612249092352765E+0","1.215058560962404E-2"
"1456","1.3270067097852341E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.8455636318564872E-12","-9.1289208925108278E-1","0.0000000000000000E+0","2.4745563882882124E+0","1.8668020607588428E+1","8.2748872659513566E+1","1.9600474571780748E+0","1.215058560962404E-2"
"1455","1.3270751176531992E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.2579307058922797E-12","-9.1301225278043863E-1","0.0000000000000000E+0","2.4744287319788802E+0","1.8668141377445373E+1","8.2749407990479995E+1","1.9588707700297334E+0","1.215058560962404E-2"
"1454","1.3271435414327575E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6282922879832605E-12","-9.1313245167689072E-1","0.0000000000000000E+0","2.4743010264345613E+0","1.8668262139887471E+1","8.2749943288578990E+1","1.9576948475123017E+0","1.215058560962404E-2"
"1453","1.3272119811244647E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.7263814828458042E-12","-9.1325268593862652E-1","0.0000000000000000E+0","2.4741732716450691E+0","1.8668382894928971E+1","8.2750478553873705E+1","1.9565196894064769E+0","1.215058560962404E-2"
"1452","1.3272804367286364E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6863648123628692E-12","-9.1337295556382647E-1","0.0000000000000000E+0","2.4740454675999053E+0","1.8668503642584142E+1","8.2751013786427379E+1","1.9553452957196849E+0","1.215058560962404E-2"
"1451","1.3273489082458809E+0","0.0000000000000000E+0","0.0000000000000000E+0","6.0486118681297418E-12","-9.1349326055085267E-1","0.0000000000000000E+0","2.4739176142886237E+0","1.8668624382867726E+1","8.2751548986305352E+1","1.9541716667294993E+0","1.215058560962404E-2"
"1450","1.3274173956764261E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.4540260557831328E-12","-9.1361360089761023E-1","0.0000000000000000E+0","2.4737897117011012E+0","1.8668745115793822E+1","8.2752084153570124E+1","1.9529988022584082E+0","1.215058560962404E-2"
"1449","1.3274858990206997E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6336241907808421E-12","-9.1373397660210787E-1","0.0000000000000000E+0","2.4736617598272859E+0","1.8668865841376984E+1","8.2752619288286212E+1","1.9518267014800994E+0","1.215058560962404E-2"
"1448","1.3275544182791752E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5900524955869274E-12","-9.1385438766260541E-1","0.0000000000000000E+0","2.4735337586567243E+0","1.8668986559631755E+1","8.2753154390518077E+1","1.9506553654016234E+0","1.215058560962404E-2"
"1447","1.3276229534520771E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.4518945178516113E-12","-9.1397483407682534E-1","0.0000000000000000E+0","2.4734057081796079E+0","1.8669107270572447E+1","8.2753689460329170E+1","1.9494847925479819E+0","1.215058560962404E-2"
"1446","1.3276915045397630E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5530327406426274E-12","-9.1409531584274784E-1","0.0000000000000000E+0","2.4732776083858283E+0","1.8669227974213502E+1","8.2754224497783497E+1","1.9483149834799582E+0","1.215058560962404E-2"
"1445","1.3277600715425171E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.6550641020649242E-12","-9.1421583295826536E-1","0.0000000000000000E+0","2.4731494592653349E+0","1.8669348670569505E+1","8.2754759502945703E+1","1.9471459385456600E+0","1.215058560962404E-2"
"1444","1.3278286544606184E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5826630957766672E-12","-9.1433638542114692E-1","0.0000000000000000E+0","2.4730212608082924E+0","1.8669469359654933E+1","8.2755294475879978E+1","1.9459776566975577E+0","1.215058560962404E-2"
"1443","1.3278972532943019E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.8669889454657758E-12","-9.1445697322919151E-1","0.0000000000000000E+0","2.4728930130047440E+0","1.8669590041484241E+1","8.2755829416650386E+1","1.9448101383098106E+0","1.215058560962404E-2"
"1442","1.3279658680438549E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.6202427573854888E-12","-9.1457759638005387E-1","0.0000000000000000E+0","2.4727647158450643E+0","1.8669710716071894E+1","8.2756364325321030E+1","1.9436433829232584E+0","1.215058560962404E-2"
"1441","1.3280344987094246E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.4538813847154489E-12","-9.1469825487148237E-1","0.0000000000000000E+0","2.4726363693192637E+0","1.8669831383432516E+1","8.2756899201956770E+1","1.9424773907560304E+0","1.215058560962404E-2"
"1440","1.3281031452911563E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.4484716303053899E-12","-9.1481894870089719E-1","0.0000000000000000E+0","2.4725079734179438E+0","1.8669952043580384E+1","8.2757434046620844E+1","1.9413121622666245E+0","1.215058560962404E-2"
"1439","1.3281718077893314E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.1299042247639027E-12","-9.1493967786611041E-1","0.0000000000000000E+0","2.4723795281311696E+0","1.8670072696530628E+1","8.2757968859380355E+1","1.9401476959488020E+0","1.215058560962404E-2"
"1438","1.3282404862039996E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.6458299233163431E-12","-9.1506044236434203E-1","0.0000000000000000E+0","2.4722510334497718E+0","1.8670193342297242E+1","8.2758503640297334E+1","1.9389839925127668E+0","1.215058560962404E-2"
"1437","1.3283091805352973E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.3020870693844585E-12","-9.1518124219323571E-1","0.0000000000000000E+0","2.4721224893639184E+0","1.8670313980895024E+1","8.2759038389437336E+1","1.9378210520180366E+0","1.215058560962404E-2"
"1436","1.3283778907832906E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.9627595521662553E-12","-9.1530207735011981E-1","0.0000000000000000E+0","2.4719938958642542E+0","1.8670434612338596E+1","8.2759573106865219E+1","1.9366588737533741E+0","1.215058560962404E-2"
"1435","1.3284466169481410E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.7429578091232764E-12","-9.1542294783244227E-1","0.0000000000000000E+0","2.4718652529413307E+0","1.8670555236642411E+1","8.2760107792645030E+1","1.9354974578795234E+0","1.215058560962404E-2"
"1434","1.3285153590298260E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.8114305899814996E-12","-9.1554385363734081E-1","0.0000000000000000E+0","2.4717365605860135E+0","1.8670675853821407E+1","8.2760642446842979E+1","1.9343368044999103E+0","1.215058560962404E-2"
"1433","1.3285841170283259E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.2762325789147131E-12","-9.1566479476209550E-1","0.0000000000000000E+0","2.4716078187889070E+0","1.8670796463889829E+1","8.2761177069522205E+1","1.9331769129460132E+0","1.215058560962404E-2"
"1432","1.3286528909437574E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.5602035325742721E-12","-9.1578577120400828E-1","0.0000000000000000E+0","2.4714790275407554E+0","1.8670917066862312E+1","8.2761711660747622E+1","1.9320177837846155E+0","1.215058560962404E-2"
"1431","1.3287216807760147E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.5665779202243793E-12","-9.1590678296014105E-1","0.0000000000000000E+0","2.4713501868324377E+0","1.8671037662753783E+1","8.2762246220585340E+1","1.9308594162660375E+0","1.215058560962404E-2"
"1430","1.3287904865250943E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.8407760104126467E-12","-9.1602783002763366E-1","0.0000000000000000E+0","2.4712212966548224E+0","1.8671158251578738E+1","8.2762780749099647E+1","1.9297018102708798E+0","1.215058560962404E-2"
"1429","1.3288593081908915E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.4793219094401277E-12","-9.1614891240348728E-1","0.0000000000000000E+0","2.4710923569988923E+0","1.8671278833351835E+1","8.2763315246355504E+1","1.9285449664222765E+0","1.215058560962404E-2"
"1428","1.3289281457733699E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.3096464150276152E-12","-9.1627003008475572E-1","0.0000000000000000E+0","2.4709633678556226E+0","1.8671399408087915E+1","8.2763849712418704E+1","1.9273888836499828E+0","1.215058560962404E-2"
"1427","1.3289969992723663E+0","0.0000000000000000E+0","0.0000000000000000E+0","2.9196779066555238E-12","-9.1639118306832112E-1","0.0000000000000000E+0","2.4708343292161246E+0","1.8671519975801584E+1","8.2764384147353979E+1","1.9262335619218502E+0","1.215058560962404E-2"
"1426","1.3290658686878243E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.2342397136026840E-12","-9.1651237135107544E-1","0.0000000000000000E+0","2.4707052410716352E+0","1.8671640536507603E+1","8.2764918551226771E+1","1.9250790021096980E+0","1.215058560962404E-2"
"1425","1.3291347540194927E+0","0.0000000000000000E+0","0.0000000000000000E+0","4.0287262763973684E-12","-9.1663359492978735E-1","0.0000000000000000E+0","2.4705761034133435E+0","1.8671761090220496E+1","8.2765452924101453E+1","1.9239252028097451E+0","1.215058560962404E-2"
"1424","1.3292036552672293E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.4536333794105961E-12","-9.1675485380133825E-1","0.0000000000000000E+0","2.4704469162323832E+0","1.8671881636955160E+1","8.2765987266044078E+1","1.9227721646677198E+0","1.215058560962404E-2"
"1423","1.3292725724308592E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.8580076441225735E-12","-9.1687614796243089E-1","0.0000000000000000E+0","2.4703176795201598E+0","1.8672002176726398E+1","8.2766521577120230E+1","1.9216198871493395E+0","1.215058560962404E-2"
"1422","1.3293415055101272E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.8702970007711921E-12","-9.1699747740973525E-1","0.0000000000000000E+0","2.4701883932680309E+0","1.8672122709549011E+1","8.2767055857395533E+1","1.9204683703997230E+0","1.215058560962404E-2"
"1421","1.3294104545047729E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.6899213923036544E-12","-9.1711884213992434E-1","0.0000000000000000E+0","2.4700590574673331E+0","1.8672243235437584E+1","8.2767590106934648E+1","1.9193176142052994E+0","1.215058560962404E-2"
"1420","1.3294794194145727E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.6127139461785675E-12","-9.1724024214943700E-1","0.0000000000000000E+0","2.4699296721098816E+0","1.8672363754407161E+1","8.2768124325804251E+1","1.9181676186333911E+0","1.215058560962404E-2"
"1419","1.3295484002391964E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.7504059425125986E-12","-9.1736167743489261E-1","0.0000000000000000E+0","2.4698002371870098E+0","1.8672484266472466E+1","8.2768658514069600E+1","1.9170183829564456E+0","1.215058560962404E-2"
"1418","1.3296173969783125E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.2422605991789060E-12","-9.1748314799277164E-1","0.0000000000000000E+0","2.4696707526903010E+0","1.8672604771648203E+1","8.2769192671795878E+1","1.9158699077849690E+0","1.215058560962404E-2"
