"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1101","9.8057441981321924E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.4476661897303158E-11","1.2996953834724079E+0","0.0000000000000000E+0","4.6028651290841154E+0","3.5175444631213318E-2","1.5592056864062218E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1100","9.8053865097318893E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3118271005529372E-11","1.2965664912647605E+0","0.0000000000000000E+0","4.5946469329553468E+0","3.5433769864893189E-2","1.5706563497174811E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1099","9.8048708818248842E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.4125780515798781E-11","1.2920966850656004E+0","0.0000000000000000E+0","4.5829398704694730E+0","3.5807237387136634E-2","1.5872108720689426E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1098","9.8043497185151174E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.1401027500850803E-11","1.2876269267506184E+0","0.0000000000000000E+0","4.5712718787872717E+0","3.6186002142035587E-2","1.6040002024054997E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1097","9.8038229392133214E-1","0.0000000000000000E+0","0.0000000000000000E+0","8.1235096995810643E-11","1.2831572174913906E+0","0.0000000000000000E+0","4.5596429479549654E+0","3.6570159031122297E-2","1.6210285473835362E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1096","9.8032904618360917E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.5021998895935712E-11","1.2786875584976611E+0","0.0000000000000000E+0","4.5480530678769595E+0","3.6959805019626195E-2","1.6383002051359885E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1095","9.8027522027716241E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.4969516391900214E-11","1.2742179510140750E+0","0.0000000000000000E+0","4.5365022283092653E+0","3.7355039189512051E-2","1.6558195676233423E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1094","9.8022080768448294E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.1829445232883262E-11","1.2697483963186835E+0","0.0000000000000000E+0","4.5249904188617549E+0","3.7755962794025488E-2","1.6735911230514469E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1093","9.8016579972819595E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.9178558803346988E-11","1.2652788957318486E+0","0.0000000000000000E+0","4.5135176289929761E+0","3.8162679313919499E-2","1.6916194583638416E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1092","9.8011018756733204E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3799403747930782E-11","1.2608094506090681E+0","0.0000000000000000E+0","4.5020838480064747E+0","3.8575294515361062E-2","1.7099092618085562E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1091","9.8005396219358287E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.4145218027004253E-11","1.2563400623465164E+0","0.0000000000000000E+0","4.4906890650506384E+0","3.8993916509548296E-2","1.7284653255807325E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1090","9.7999711442742266E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.6223898838336575E-11","1.2518707323836082E+0","0.0000000000000000E+0","4.4793332691131500E+0","3.9418655814170415E-2","1.7472925485469312E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1089","9.7993963491406300E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.4163878503048786E-11","1.2474014621942267E+0","0.0000000000000000E+0","4.4680164490207641E+0","3.9849625416702929E-2","1.7663959390507900E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1088","9.7988151411946500E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.6952784950711613E-11","1.2429322533065312E+0","0.0000000000000000E+0","4.4567385934337125E+0","4.0286940839645263E-2","1.7857806178047797E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1087","9.7982274232601574E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.1818652178470939E-11","1.2384631072864052E+0","0.0000000000000000E+0","4.4454996908439908E+0","4.0730720207758642E-2","1.8054518208706291E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1086","9.7976330962826130E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.7532556372141786E-11","1.2339940257486117E+0","0.0000000000000000E+0","4.4342997295729738E+0","4.1181084317350354E-2","1.8254149027304548E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1085","9.7970320592842042E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.6890421567080188E-11","1.2295250103538835E+0","0.0000000000000000E+0","4.4231386977662908E+0","4.1638156707724187E-2","1.8456753394539119E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1084","9.7964242093190068E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.9694704058525945E-11","1.2250560628240734E+0","0.0000000000000000E+0","4.4120165833917442E+0","4.2102063734817161E-2","1.8662387319622559E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1083","9.7958094414240937E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.9394174941230684E-11","1.2205871849164069E+0","0.0000000000000000E+0","4.4009333742369110E+0","4.2572934647143602E-2","1.8871108093946815E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1082","9.7951876485732325E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.3065736536204015E-11","1.2161183784575280E+0","0.0000000000000000E+0","4.3898890579034155E+0","4.3050901664115043E-2","1.9082974325799695E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1081","9.7945587216248686E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.0352699422533481E-11","1.2116496453121612E+0","0.0000000000000000E+0","4.3788836218054277E+0","4.3536100056811099E-2","1.9298045976167844E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1080","9.7939225492732773E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3312595666922959E-11","1.2071809874198904E+0","0.0000000000000000E+0","4.3679170531653408E+0","4.4028668231284734E-2","1.9516384395663050E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1079","9.7932790179939477E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.7751812662869906E-11","1.2027124067697765E+0","0.0000000000000000E+0","4.3569893390100329E+0","4.4528747814536446E-2","1.9738052362631639E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1078","9.7926280119900533E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.8900255514658970E-11","1.1982439054126079E+0","0.0000000000000000E+0","4.3461004661677052E+0","4.5036483743188485E-2","1.9963114122460685E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1077","9.7919694131369661E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.2035853778395265E-11","1.1937754854678904E+0","0.0000000000000000E+0","4.3352504212636012E+0","4.5552024355011281E-2","2.0191635428148508E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1076","9.7913031009241247E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.7035865853146068E-11","1.1893071491168623E+0","0.0000000000000000E+0","4.3244391907160358E+0","4.6075521483378928E-2","2.0423683582173505E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1075","9.7906289523965040E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3140925054923826E-11","1.1848388986129759E+0","0.0000000000000000E+0","4.3136667607333976E+0","4.6607130554758527E-2","2.0659327479707831E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1074","9.7899468420929714E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.2270715279927553E-11","1.1803707362750537E+0","0.0000000000000000E+0","4.3029331173085197E+0","4.7147010689376143E-2","2.0898637653239108E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1073","9.7892566419842053E-1","0.0000000000000000E+0","0.0000000000000000E+0","6.7361713236737037E-11","1.1759026644976041E+0","0.0000000000000000E+0","4.2922382462163675E+0","4.7695324805130244E-2","2.1141686318631658E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1072","9.7885582214081412E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.1317986870270783E-11","1.1714346857546811E+0","0.0000000000000000E+0","4.2815821330075980E+0","4.8252239724915824E-2","2.1388547422699578E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1071","9.7878514470029676E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3023841016135887E-11","1.1669668025953550E+0","0.0000000000000000E+0","4.2709647630067131E+0","4.8817926287447126E-2","2.1639296692330626E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1070","9.7871361826388226E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3776845952099823E-11","1.1624990176504364E+0","0.0000000000000000E+0","4.2603861213057455E+0","4.9392559461759078E-2","2.1894011685240705E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1069","9.7864122893474670E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3050498330477769E-11","1.1580313336384445E+0","0.0000000000000000E+0","4.2498461927609679E+0","4.9976318465464249E-2","2.2152771842393137E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1068","9.7856796252484124E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3438359202947041E-11","1.1535637533552501E+0","0.0000000000000000E+0","4.2393449619875057E+0","5.0569386886974980E-2","2.2415658542175443E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1067","9.7849380454763546E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.3546772913753302E-11","1.1490962797072626E+0","0.0000000000000000E+0","4.2288824133544036E+0","5.1171952811781267E-2","2.2682755156374002E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1066","9.7841874021009256E-1","0.0000000000000000E+0","0.0000000000000000E+0","7.1281854018272713E-11","1.1446289156779474E+0","0.0000000000000000E+0","4.2184585309808211E+0","5.1784208952971485E-2","2.2954147108029335E-1","1.0000000000000000E+0","1.215058560962404E-2"
