"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1309","9.5209214405141196E-1","1.4479642000595368E-2","1.0000000000000002E-1","1.0908449184976801E-1","4.3108848948021021E-2","-4.5982472348341996E-1","2.9460243110503628E+0","2.1687462936846198E+0","9.6133015202453098E+0","1.2642635951884360E+0","1.215058560962404E-2"
"1308","9.5176005653150919E-1","1.4228250828312115E-2","1.0000000000000002E-1","1.0948771969143271E-1","4.4499356371680031E-2","-4.5951479807397855E-1","2.9459980447321947E+0","2.1697665583829977E+0","9.6178240004471345E+0","1.2584006021113823E+0","1.215058560962404E-2"
"1307","9.5142786966204762E-1","1.3976938544857197E-2","1.0000000000000002E-1","1.0988812454425986E-1","4.5888392081472260E-2","-4.5919863146708889E-1","2.9459714509133894E+0","2.1708000157693417E+0","9.6224049592675271E+0","1.2524902585495938E+0","1.215058560962404E-2"
"1306","9.5109558033519459E-1","1.3725699141155975E-2","1.0000000000000002E-1","1.1028567834148253E-1","4.7275925148722100E-2","-4.5887626447502128E-1","2.9459445303137866E+0","2.1718466552844324E+0","9.6270443499011265E+0","1.2465337051531655E+0","1.215058560962404E-2"
"1305","9.5076318548614513E-1","1.3474526617361234E-2","1.0000000000000002E-1","1.1068035343535307E-1","4.8661924863200007E-2","-4.5854773825842010E-1","2.9459172836439227E+0","2.1729064665111371E+0","9.6317421261723837E+0","1.2405320825490855E+0","1.215058560962404E-2"
"1304","9.5043068209240567E-1","1.3223414998963236E-2","1.0000000000000002E-1","1.1107212260583438E-1","5.0046360728908577E-2","-4.5821309429590190E-1","2.9458897116218634E+0","2.1739794390699392E+0","9.6364982420725021E+0","1.2344865451570342E+0","1.215058560962404E-2"
"1303","9.5009806717464762E-1","1.2972358330574734E-2","1.0000000000000002E-1","1.1146095905904579E-1","5.1429202467731562E-2","-4.5787237438791378E-1","2.9458618149671341E+0","2.1750655626491469E+0","9.6413126518933172E+0","1.2283982571480787E+0","1.215058560962404E-2"
"1302","9.4976533779724515E-1","1.2721350674286038E-2","1.0000000000000002E-1","1.1184683642780732E-1","5.2810420021316633E-2","-4.5752562065364405E-1","2.9458335943992124E+0","2.1761648270084870E+0","9.6461853102432435E+0","1.2222683879793244E+0","1.215058560962404E-2"
"1301","9.4943249106818817E-1","1.2470386116552009E-2","1.0000000000000002E-1","1.1222972877596929E-1","5.4189983549993562E-2","-4.5717287551534302E-1","2.9458050506445295E+0","2.1772772219320973E+0","9.6511161718389022E+0","1.2160981225760170E+0","1.215058560962404E-2"
"1300","9.4909952414035004E-1","1.2219458756397012E-2","1.0000000000000002E-1","1.1260961059417011E-1","5.5567863438380889E-2","-4.5681418170967514E-1","2.9457761844253287E+0","2.1784027372889319E+0","9.6561051917728715E+0","1.2098886473454593E+0","1.215058560962404E-2"
"1299","9.4876643421125861E-1","1.1968562714371226E-2","1.0000000000000002E-1","1.1298645680505721E-1","5.6944030293417588E-2","-4.5644958226914650E-1","2.9457469964685621E+0","2.1795413629745211E+0","9.6611523252555394E+0","1.2036411592581062E+0","1.215058560962404E-2"
"1298","9.4843321852354179E-1","1.1717692132210940E-2","1.0000000000000002E-1","1.1336024276422869E-1","5.8318454945593685E-2","-4.5607912051731747E-1","2.9457174875055356E+0","2.1806930889073648E+0","9.6662575275991021E+0","1.1973568647506196E+0","1.215058560962404E-2"
"1297","9.4809987436583287E-1","1.1466841165749498E-2","1.0000000000000002E-1","1.1373094425794833E-1","5.9691108452864169E-2","-4.5570284007288464E-1","2.9456876582656166E+0","2.1818579050608129E+0","9.6714207543588930E+0","1.1910369748429113E+0","1.215058560962404E-2"
"1296","9.4776639907260074E-1","1.1216003993466660E-2","1.0000000000000002E-1","1.1409853750809584E-1","6.1061962098609993E-2","-4.5532078483228200E-1","2.9456575094843758E+0","2.1830358014088023E+0","9.6766419610928445E+0","1.1846827111662273E+0","1.215058560962404E-2"
"1295","9.4743279002503478E-1","1.0965174809361841E-2","1.0000000000000002E-1","1.1446299916979649E-1","6.2430987395503360E-2","-4.5493299897378536E-1","2.9456270418972226E+0","2.1842267679580294E+0","9.6819211035041004E+0","1.1837076496335661E+0","1.215058560962404E-2"
