"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1872","4.8784941344943100E-1","-6.7212754533055685E-1","0.0000000000000000E+0","2.4535031351852712E-1","1.3805858489246356E-1","0.0000000000000000E+0","2.9979610288038159E+0","2.4071477560861904E+1","1.0670052670717592E+2","1.0000000170204482E+0","1.215058560962404E-2"
"1871","4.8784941344943100E-1","-6.7208581364343456E-1","0.0000000000000000E+0","2.4543553233955007E-1","1.3804957557228090E-1","0.0000000000000000E+0","2.9979610251179034E+0","2.4074846127382031E+1","1.0671545839639349E+2","1.0085579477424205E+0","1.215058560962404E-2"
"1870","4.8784941344943100E-1","-6.7216923728902811E-1","0.0000000000000000E+0","2.4526519697961138E-1","1.3806761685537203E-1","0.0000000000000000E+0","2.9979610078108481E+0","2.4068108193305424E+1","1.0668559146724157E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1869","4.8784941344943100E-1","-6.7204404185207356E-1","0.0000000000000000E+0","2.4552085400055429E-1","1.3804058931881011E-1","0.0000000000000000E+0","2.9979609966910239E+0","2.4078213886315591E+1","1.0673038650585933E+2","1.0217724089244211E+0","1.215058560962404E-2"
"1868","4.8784941344943100E-1","-6.7221088989355093E-1","0.0000000000000000E+0","2.4518018216581206E-1","1.3807667103860555E-1","0.0000000000000000E+0","2.9979609622009806E+0","2.4064738031254333E+1","1.0667065270558760E+2","1.0000000050269848E+0","1.215058560962404E-2"
"1867","4.8784941344943100E-1","-6.7200222958032074E-1","0.0000000000000000E+0","2.4560627905987920E-1","1.3803162655733081E-1","0.0000000000000000E+0","2.9979609434609720E+0","2.4081580831105928E+1","1.0674531100651015E+2","1.0350230586457907E+0","1.215058560962404E-2"
"1866","4.8784941344943100E-1","-6.7225250351835308E-1","0.0000000000000000E+0","2.4509526852053465E-1","1.3808574702093179E-1","0.0000000000000000E+0","2.9979608920360628E+0","2.4061367081246001E+1","1.0665571045119201E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1865","4.8784941344943100E-1","-6.7196037645116946E-1","0.0000000000000000E+0","2.4569180807673047E-1","1.3802268771465293E-1","0.0000000000000000E+0","2.9979608653654322E+0","2.4084946955189093E+1","1.0676023186925018E+2","1.0483098209861097E+0","1.215058560962404E-2"
"1864","4.8784941344943100E-1","-6.7229407853662870E-1","0.0000000000000000E+0","2.4501045548818307E-1","1.3809484438289998E-1","0.0000000000000000E+0","2.9979607973778659E+0","2.4057995349806184E+1","1.0664076473298114E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1863","4.8784941344943100E-1","-6.7191848208695526E-1","0.0000000000000000E+0","2.4577744161087756E-1","1.3801377321896588E-1","0.0000000000000000E+0","2.9979607623419842E+0","2.4088312251993869E+1","1.0677514906495152E+2","1.0616326409650430E+0","1.215058560962404E-2"
"1862","4.8784941344943100E-1","-6.7233561532084207E-1","0.0000000000000000E+0","2.4492574251405619E-1","1.3810396270628361E-1","0.0000000000000000E+0","2.9979606782880097E+0","2.4054622843454499E+1","1.0662581557985425E+2","1.0000000039066883E+0","1.215058560962404E-2"
