"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1168","4.8784941344943100E-1","-8.6598594190037104E-1","0.0000000000000000E+0","6.2372089941641664E-5","2.5008844621317516E-5","0.0000000000000000E+0","2.9879970501092377E+0","6.5826921518581791E+0","2.9178795442805040E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1167","4.8784941344943100E-1","-8.6573585652880769E-1","0.0000000000000000E+0","4.5767101023885495E-4","1.8348012988577672E-4","0.0000000000000000E+0","2.9879969966444095E+0","6.5826921141642663E+0","2.9178795275720972E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1166","4.8784941344943100E-1","-8.6748695092834160E-1","0.0000000000000000E+0","-2.3092500208062123E-3","-9.2666172441799430E-4","0.0000000000000000E+0","2.9879956640224585E+0","6.5826910016260429E+0","2.9178790344224179E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1165","4.8784941344943100E-1","-8.6898879259460116E-1","0.0000000000000000E+0","-4.6805529053267530E-3","-1.8797622547600029E-3","0.0000000000000000E+0","2.9879913518981036E+0","6.5826873972311528E+0","2.9178774367189440E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1164","4.8784941344943100E-1","-8.7049144048514837E-1","0.0000000000000000E+0","-7.0515013824522868E-3","-2.8342720140068427E-3","0.0000000000000000E+0","2.9879841138414918E+0","6.5826813474300128E+0","2.9178747550515368E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1163","4.8784941344943100E-1","-8.7199486808450355E-1","0.0000000000000000E+0","-9.4220602244602675E-3","-3.7901702094047121E-3","0.0000000000000000E+0","2.9879739500298013E+0","6.5826728525486926E+0","2.9178709895647323E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1162","4.8784941344943100E-1","-8.7349904878026441E-1","0.0000000000000000E+0","-1.1792194163464359E-2","-4.7474359911167880E-3","0.0000000000000000E+0","2.9879608607123767E+0","6.5826619131031361E+0","2.9178661404872308E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1161","4.8784941344943100E-1","-8.7500395586759105E-1","0.0000000000000000E+0","-1.4161867897760508E-2","-5.7060484554478461E-3","0.0000000000000000E+0","2.9879448462110210E+0","6.5826485297876580E+0","2.9178602081267972E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1160","4.8784941344943100E-1","-8.7650956255391832E-1","0.0000000000000000E+0","-1.6531046098347452E-2","-6.6659866482706494E-3","0.0000000000000000E+0","2.9879259069202595E+0","6.5826327034420595E+0","2.9178531928556865E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1159","4.8784941344943100E-1","-8.7801584196357219E-1","0.0000000000000000E+0","-1.8899693415390200E-2","-7.6272295683150765E-3","0.0000000000000000E+0","2.9879040433075699E+0","6.5826144350648725E+0","2.9178450951165136E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1158","4.8784941344943100E-1","-8.7952276714250466E-1","0.0000000000000000E+0","-2.1267774484754379E-2","-8.5897561706147624E-3","0.0000000000000000E+0","2.9878792559135903E+0","6.5825937258095015E+0","2.9178359154205427E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1157","4.8784941344943100E-1","-8.8103031106305485E-1","0.0000000000000000E+0","-2.3635253934567710E-2","-9.5535453699134923E-3","0.0000000000000000E+0","2.9878515453523056E+0","6.5825705769845833E+0","2.9178256543478469E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1156","4.8784941344943100E-1","-8.8253844662872727E-1","0.0000000000000000E+0","-2.6002096391794481E-2","-1.0518576044118872E-2","0.0000000000000000E+0","2.9878209123111956E+0","6.5825449900530666E+0","2.9178143125469013E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1155","4.8784941344943100E-1","-8.8404714667904927E-1","0.0000000000000000E+0","-2.8368266488856694E-2","-1.1484827037788815E-2","0.0000000000000000E+0","2.9877873575513632E+0","6.5825169666311645E+0","2.9178018907341169E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1154","4.8784941344943100E-1","-8.8555638399441594E-1","0.0000000000000000E+0","-3.0733728870240160E-2","-1.2452277165635574E-2","0.0000000000000000E+0","2.9877508819076337E+0","6.5824865084915629E+0","2.9177883896952640E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1153","4.8784941344943100E-1","-8.8706613130099210E-1","0.0000000000000000E+0","-3.3098448199144995E-2","-1.3420905216017454E-2","0.0000000000000000E+0","2.9877114862886249E+0","6.5824536175605228E+0","2.9177738102841868E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1152","4.8784941344943100E-1","-8.8857636127565220E-1","0.0000000000000000E+0","-3.5462389164143682E-2","-1.4390689954519937E-2","0.0000000000000000E+0","2.9876691716767869E+0","6.5824182959168178E+0","2.9177581534223346E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1151","4.8784941344943100E-1","-8.9008704655091586E-1","0.0000000000000000E+0","-3.7825516485829422E-2","-1.5361610127487664E-2","0.0000000000000000E+0","2.9876239391284187E+0","6.5823805457932867E+0","2.9177414200994470E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1150","4.8784941344943100E-1","-8.9159815971994005E-1","0.0000000000000000E+0","-4.0187794923478667E-2","-1.6333644465636715E-2","0.0000000000000000E+0","2.9875757897736537E+0","6.5823403695773868E+0","2.9177236113738019E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1149","4.8784941344943100E-1","-8.9310967334150482E-1","0.0000000000000000E+0","-4.2549189281730244E-2","-1.7306771687593241E-2","0.0000000000000000E+0","2.9875247248164123E+0","6.5822977698076093E+0","2.9177047283706234E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1148","4.8784941344943100E-1","-8.9462155994503589E-1","0.0000000000000000E+0","-4.4909664417233354E-2","-1.8280970503539887E-2","0.0000000000000000E+0","2.9874707455343366E+0","6.5822527491750149E+0","2.9176847722827667E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1147","4.8784941344943100E-1","-8.9613379203563137E-1","0.0000000000000000E+0","-4.7269185245305968E-2","-1.9256219618801744E-2","0.0000000000000000E+0","2.9874138532786843E+0","6.5822053105224496E+0","2.9176637443703662E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1146","4.8784941344943100E-1","-8.9764634209911909E-1","0.0000000000000000E+0","-4.9627716746575873E-2","-2.0232497737519502E-2","0.0000000000000000E+0","2.9873540494742001E+0","6.5821554568435223E+0","2.9176416459603853E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1145","4.8784941344943100E-1","-8.9915918260707750E-1","0.0000000000000000E+0","-5.1985223973613728E-2","-2.1209783566159809E-2","0.0000000000000000E+0","2.9872913356189619E+0","6.5821031912835322E+0","2.9176184784470266E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1144","4.8784941344943100E-1","-9.0067228602193428E-1","0.0000000000000000E+0","-5.4341672057533263E-2","-2.2188055817300056E-2","0.0000000000000000E+0","2.9872257132841877E+0","6.5820485171360401E+0","2.9175942432902112E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1143","4.8784941344943100E-1","-9.0218562480200104E-1","0.0000000000000000E+0","-5.6697026214597587E-2","-2.3167293213116211E-2","0.0000000000000000E+0","2.9871571841140230E+0","6.5819914378456303E+0","2.9175689420168037E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1142","4.8784941344943100E-1","-9.0369917140655975E-1","0.0000000000000000E+0","-5.9051251752752415E-2","-2.4147474489139724E-2","0.0000000000000000E+0","2.9870857498252992E+0","6.5819319570037864E+0","2.9175425762187853E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1141","4.8784941344943100E-1","-9.0521289830088381E-1","0.0000000000000000E+0","-6.1404314078175051E-2","-2.5128578397759112E-2","0.0000000000000000E+0","2.9870114122072531E+0","6.5818700783520292E+0","2.9175151475546429E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1140","4.8784941344943100E-1","-9.0672677796138457E-1","0.0000000000000000E+0","-6.3756178701774330E-2","-2.6110583712037602E-2","0.0000000000000000E+0","2.9869341731212353E+0","6.5818058057745930E+0","2.9174866577461216E+1","1.0000000000000000E+0","1.215058560962404E-2"
